Category,Item,Check (Y/N),Evidence,Notes
Architecture réseau,Diagramme réseau disponible et à jour,,,
Architecture réseau,Schéma d'adressage IP documenté,,,
Segmentation,VLAN séparant utilisateurs/serveurs/IoT/guest,,,
Segmentation,ACL inter‑VLAN appliquées et testées,,,
Equipements,Routers/Firewalls inventory & versions,,,
Equipements,Firmware à jour (FW/SW),,,
Equipements,Services management sécurisés (SSH/HTTPS accès restreint),,,
Pare-feu,Politique deny‑by‑default appliquée,,,
Pare-feu,Règles any‑any identifiées et justifiées,,,
Pare-feu,Logging deny/permit activé et centralisé,,,
VPN,MFA obligatoire pour remote access,,,
VPN,Configurations IKEv2/IPsec & ciphers strong,,,
VPN,Split‑tunneling évalué et contrôlé,,,
Wi‑Fi,WPA3‑Enterprise ou 802.1X déployé,,,
Wi‑Fi,Guest isolation active et limitée,,,
Wi‑Fi,Rogue AP detection & mitigation,,,
AD/Identity,GPO inventory & password policy conforme,,,
AD/Identity,Privileged groups inventoried & justified,,,
AD/Identity,LAPS or equivalent for local admin,,,
Cloud,IAM least privilege appliqué,,,
Cloud,Storage publics identifiés (S3/Blob),,,
Cloud,Logging & monitoring activés pour workloads,,,
SIEM,Logs ingestion (FW/IDS/Endpoints/Cloud) activée,,,
SIEM,Alerting & playbooks documentés,,,
Patching,Plan de patching documenté & appliqué,,,
Patching,EndPoints protégés (EDR) et à jour,,,
Backup,Backups configurés & tests de restore réguliers,,,
Conformité,RGPD - registre des traitements à jour,,,
Conformité,NIS2 - mapping des contrôles,,,
